,OptimalSolution,ReducedCosts,MinValue,MaxValue,Span,MinStatus,MaxStstus
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time00,0.0,0.0,0.0,0.0005018176809254623,0.0005018177,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time01,8.87434741656305e-05,0.0,0.0,0.0010034361502346057,0.0010034362,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time02,0.0004894425280557865,0.0,0.0,0.0015048549367023543,0.0015048549,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time03,0.0,0.0,0.0,0.0020063440372277276,0.002006344,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time04,0.0001645320925973072,0.0,0.0,0.002507833137753087,0.0025078331,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time05,0.0,0.0,0.0,0.003009322238278448,0.0030093222,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time06,0.00022025412434173151,0.0,0.0,0.0035108113388038105,0.0035108113,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time07,0.001022784633099816,0.0,0.0,0.004012300439329192,0.0040123004,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time08,0.0,0.0,0.0,0.004513789539854526,0.0045137895,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time09,0.0007112427070736554,0.0,0.0,0.005015278640379879,0.0050152786,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time10,0.000876426394990013,0.0,0.0,0.005516767740905246,0.0055167677,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time11,0.00023240807092236068,0.0,0.0,0.006031889803033089,0.0060318898,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time12,0.00045579782512260997,0.0,0.0,0.006592430409861102,0.0065924304,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time13,0.0,0.0,0.0,0.007205057738789388,0.0072050577,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time14,0.001102321904796456,0.0,0.0,0.007874790227863786,0.0078747902,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time15,0.0006824564119100995,0.0,0.0,0.008606399784263589,0.0086063998,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time16,0.000473122777676585,0.0,0.0,0.009406189976115701,0.00940619,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time17,0.0,0.0,0.0,0.010280294940230743,0.0102802949,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time18,0.001246718019349377,0.0,0.0,0.011235895127359886,0.0112358951,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time19,0.0005982263199224519,0.0,0.0,0.012279754929350808,0.0122797549,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time20,0.00032019173642725007,0.0,0.0,0.0134209028619864,0.0134209029,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time21,0.0,0.0,0.0,0.014668094253193742,0.0146680943,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time22,0.00136529568720849,0.0,0.0,0.016031188520307854,0.0160311885,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time23,0.0008172732523856619,0.0,0.0,0.017520954047435127,0.017520954,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time24,0.0,0.0,0.0,0.019149162293453523,0.0191491623,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time25,0.0,0.0,0.0,0.020928678629501027,0.0209286786,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time26,0.0,0.0,0.0,0.022873563995364804,0.022873564,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time27,0.0025396646046621078,0.0,0.0,0.024997528068103698,0.0249975281,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time28,0.0027585800286760126,0.0,0.0,0.02731659673011139,0.0273165967,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time29,0.0,0.0,0.0,0.02985059117989307,0.0298505912,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time30,0.0,0.0,0.0,0.032618791344459455,0.0326187913,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time31,0.001147647071325233,0.0,0.0,0.035653599882759235,0.0356535999,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time32,0.0022987246270787477,0.0,0.0,0.03894296244590246,0.0389429624,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time33,0.0,0.0,0.0,0.04119284261473289,0.0411928426,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time34,0.0013004487708398655,0.0,0.0,0.04119284261473292,0.0411928426,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time35,0.0024045249328020347,0.0,0.0,0.041192842614732904,0.0411928426,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time36,0.0011427418627216399,0.0,0.0,0.04119284261473292,0.0411928426,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time37,0.0,0.0,0.0,0.04119284261473291,0.0411928426,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time38,0.0,0.0,0.0,0.04119284261473293,0.0411928426,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time39,0.0,0.0,0.0,0.041192842614732904,0.0411928426,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time40,0.0,0.0,0.0,0.04119284261472569,0.0411928426,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time41,0.002460755669500842,0.0,0.0,0.041192842614732904,0.0411928426,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time42,0.0,0.0,0.0,0.0411928426147329,0.0411928426,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time43,0.0,0.0,0.0,0.04119284261473291,0.0411928426,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time44,0.014272517087081167,0.0,0.0,0.04119284261473295,0.0411928426,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time00,0.0,0.0,0.0,0.0005015075245898365,0.0005015075,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time01,0.00038239977382202855,0.0,0.0,0.0010026753998371957,0.0010026754,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time02,0.0,0.0,0.0,0.0015038194155624369,0.0015038194,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time03,0.00036557376926804673,0.0,0.0,0.0020049634312876824,0.0020049634,1.0,1.0
